email,password,lastName,firstName,age,theme
blabla@bluewin.ch,1234,Lo,Uigi,17,
1@,22,1,2,4,
5@,5,1,2,3,
8@,89,2,3,53467,
21@,21,21,2e1,12,
ddd@,2345,2,3,4,
141@,123,1,2,3123,
12@,1231,a,b,,
7@,11,a,a,12.222.,
hello@bye.comdd,1223,a,v,2.8.88,
h@h.sh,1234,h,e,1.2.3333,
123@,1234,a,e,324..,theme3
hello@bye.com,1234,hello,hehe,12.12.1222,theme2
bye@hello.com,4321,Hello,Bye,11.11.1111,theme4
sar@post.com,harold,Meyer,Sarah,-8,theme1
qwerty@uiop.asdf,asdfghjkl,L,M,88.88.4444,default
blbldf@ge.co,asdfjklö,Someone,Example,11.22.2222,theme2
